matern32,,,,SquaredExp,,,,RationalQuad,,,,Matern52,,,,Gamma,,,,Ensemble,,,
Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.
22, [ 0.20607955  0.20803527]. ,1.22003244858,1.22003246621,22, [ 0.7250575   0.24955239]. ,0.585089003261,1.16776151885,22, [ 0.64645987  0.12641844]. ,0.398985584973,1.21783919921,22, [ 0.0568814   0.76652732]. ,0.32597790532,1.21967481427,22, [ 0.23102698  0.16269963]. ,1.18069195171,1.21988776397,22, [ 0.22381174  0.20142423]. ,1.2144203473,1.21995751344
23, [ 0.20610297  0.20801101]. ,1.22003235548,1.22003246621,23, [ 0.80640036  0.53395473]. ,0.322141679313,1.16776151885,23, [ 0.25487186  0.24646476]. ,1.16263999066,1.21783919921,23, [ 0.1962943   0.02256451]. ,0.898934850317,1.21967481427,23, [ 0.16756722  0.07443489]. ,1.01189862698,1.21988776397,23, [ 0.20149456  0.19012674]. ,1.21513886358,1.21995751344
24, [ 0.2061242   0.20799792]. ,1.2200322566,1.22003246621,24, [ 0.5315368   0.62722358]. ,0.20278487265,1.16776151885,24, [ 0.16438907  0.22813193]. ,1.18808371477,1.21783919921,24, [ 0.24116521  0.23356736]. ,1.1917985864,1.21967481427,24, [ 0.19954475  0.19378211]. ,1.2165239952,1.21988776397,24, [ 0.20130567  0.15029155]. ,1.17419020652,1.21995751344
25, [ 0.20613334  0.20798996]. ,1.22003220383,1.22003246621,25, [ 0.37248403  0.38669254]. ,0.617022920651,1.16776151885,25, [ 0.23743536  0.2346449 ]. ,1.19474571821,1.21783919921,25, [ 0.1966882   0.23748331]. ,1.20571492821,1.21967481427,25, [ 0.1913602   0.21801898]. ,1.21521140032,1.21988776397,25, [ 0.23309382  0.2211209 ]. ,1.20638454756,1.21995751344
26, [ 0.20613984  0.20798403]. ,1.22003216295,1.22003246621,26, [ 0.67093079  0.06717284]. ,0.334780924495,1.16776151885,26, [ 0.18302004  0.1938243 ]. ,1.20954578754,1.21783919921,26, [ 0.20572484  0.20840987]. ,1.22002950114,1.22002950114,26, [ 0.37751275  0.37131041]. ,0.639778722146,1.21988776397,26, [ 0.15591333  0.23371515]. ,1.17319456101,1.21995751344
27, [ 0.20614238  0.20798068]. ,1.22003214412,1.22003246621,27, [ 0.25227363  0.63334785]. ,0.330524069625,1.16776151885,27, [ 0.49592702  0.26667345]. ,0.539839492074,1.21783919921,27, [ 0.98371158  0.05017535]. ,0.131208434659,1.22002950114,27, [ 0.21460752  0.22510194]. ,1.21466575717,1.21988776397,27, [ 0.2129035   0.26470986]. ,1.17208631782,1.21995751344
28, [ 0.20614499  0.2079864 ]. ,1.22003214376,1.22003246621,28, [ 0.81725881  0.387576  ]. ,0.571957963119,1.16776151885,28, [ 0.41792496  0.50906069]. ,0.354242115115,1.21783919921,28, [ 0.77772791  0.85832294]. ,0.0867774132693,1.22002950114,28, [ 0.17607706  0.24800714]. ,1.18270099304,1.21988776397,28, [ 0.22919461  0.18751219]. ,1.20530559476,1.21995751344
29, [ 0.2061463   0.20797629]. ,1.22003211579,1.22003246621,29, [ 0.4784824   0.01903897]. ,0.472536915604,1.16776151885,29, [ 0.20896841  0.1484374 ]. ,1.17094153543,1.21783919921,29, [ 0.1865901  0.1882322]. ,1.20913905659,1.22002950114,29, [ 0.20518966  0.16785974]. ,1.19720562048,1.21988776397,29, [ 0.19624255  0.20881121]. ,1.21857356284,1.21995751344
30, [ 0.20614908  0.20797635]. ,1.22003210248,1.22003246621,30, [ 0.33633472  0.27199298]. ,0.938507847899,1.16776151885,30, [ 0.25274366  0.19434119]. ,1.18350984821,1.21783919921,30, [ 0.2107631   0.23672048]. ,1.20753833876,1.22002950114,30, [ 0.25992391  0.12890932]. ,1.09315640245,1.21988776397,30, [ 0.18324252  0.19888129]. ,1.21125773349,1.21995751344
31, [ 0.20614742  0.20797412]. ,1.22003210534,1.22003246621,31, [ 0.14499577  0.55462141]. ,0.440621972234,1.16776151885,31, [ 0.22604286  0.20256007]. ,1.2133275231,1.21783919921,31, [ 0.42754186  0.16086029]. ,0.682236039618,1.22002950114,31, [ 0.21937622  0.20338994]. ,1.21691458618,1.21988776397,31, [ 0.2601858   0.18418242]. ,1.16658875586,1.21995751344
32, [ 0.20614525  0.20797507]. ,1.22003211796,1.22003246621,32, [ 0.32323358  0.01354432]. ,0.744312614579,1.16776151885,32, [ 0.16604723  0.17338195]. ,1.18189404196,1.21783919921,32, [ 0.16823658  0.18993474]. ,1.19519797979,1.22002950114,32, [ 0.17038399  0.15133648]. ,1.1612155475,1.21988776397,32, [ 0.21019453  0.21680274]. ,1.21865316162,1.21995751344
33, [ 0.20614887  0.2079755 ]. ,1.22003210156,1.22003246621,33, [ 0.99959838  0.03360924]. ,0.115606383975,1.16776151885,33, [ 0.17792242  0.96201598]. ,0.24863913198,1.21783919921,33, [ 0.22565227  0.21179593]. ,1.21392059226,1.22002950114,33, [ 0.20704066  0.25065713]. ,1.19311146619,1.21988776397,33, [ 0.19623822  0.22863983]. ,1.21217374651,1.21995751344
